sensor_id,active_minutes,mean_db,median_db,std_db,min_db,max_db,p05_db,p10_db,p25_db,p75_db,p90_db,p95_db,high_exposure_share_60,high_exposure_share_65,high_exposure_share_70,quiet_share_45,quiet_share_50,quiet_share_55,iqr_db,range_db,floor,company_id,zone_type,approx_people,x,y,burst_rate_per_hour,burstiness_index,exposure_variability_index,day_night_difference_db,weekday_weekend_difference_db,profile_stability_score
A012,42428,55.93356236447629,53.783,7.93626941649288,45.859,76.033,46.685,47.065,47.956,64.352,66.25890000000001,67.565,0.3981804468747054,0.1967097199962289,0.0092627510134816,0.0,0.3813047987178278,0.5285189026114829,16.396,30.174,Main_Floor_B,Deployment_A,unknown,16,0.43,0.47,,,0.3928571428571428,14.45602917401022,-2.630443541368216,0.9757717480793476
A013,43125,61.304272742028985,59.929,3.957819000661847,56.278,77.143,57.054,57.143,57.935,65.352,66.989,68.132,0.4902028985507246,0.2673855072463768,0.0122666666666666,0.0,0.0,0.0,7.417000000000002,20.865,Main_Floor_B,Deployment_A,unknown,16,0.86,0.15,,,0.3660714285714286,6.1370804027777766,-1.4525399229134806,0.9512010978420476
A014,43125,58.3638352231884,56.022,6.233426156514002,50.923,79.648,51.549,51.804,52.5,65.0,67.2626,68.242,0.3685333333333333,0.2504811594202898,0.0125449275362318,0.0,0.0,0.4366608695652174,12.5,28.724999999999994,Main_Floor_B,Deployment_A,unknown,16,0.72,0.47,,,0.5029761904761906,9.2523189212963,-2.2755761983057994,0.9494900972980412
A015,41768,60.66168377705421,59.304,3.57820195785021,53.0,74.508,56.957,57.167,57.646,63.429,66.31030000000001,67.4,0.4378471557172955,0.1713512737023558,0.0048841218157441,0.0,0.0,0.0029208963800038,5.783000000000001,21.508,Main_Floor_B,Deployment_A,unknown,16,0.58,0.15,,,0.2886904761904762,5.529987541484623,-1.3594138664145348,0.9774459739930496
A016,15192,57.45507273565034,55.054,4.852645890210776,51.348,86.75,52.659,52.891,53.326,61.27775,65.1758,66.533,0.3037124802527646,0.1076882569773565,0.0040152711953659,0.0,0.0,0.494536598209584,7.951749999999997,35.402,Main_Floor_B,Deployment_A,unknown,16,0.72,0.15,,,0.3482142857142857,7.460122098264023,-2.0503980365132435,0.654861709348381
A017,43125,60.73722337391304,59.069,4.826047406105546,52.805,87.862,55.126,55.6032,56.724,64.586,68.264,69.563,0.4435014492753623,0.2330666666666666,0.038631884057971,0.0,0.0,0.0417623188405797,7.862000000000002,35.056999999999995,Main_Floor_B,Deployment_A,unknown,16,0.43,0.15,,,0.4672619047619048,7.7232727777777725,-1.5681460073195197,0.979859805334697
A018,8238,62.81719664967225,64.0,5.777210072526267,50.0,78.5,52.4794,53.0,60.38525,66.73649999999999,69.43860000000001,71.2259,0.7794367564942948,0.4157562515173585,0.0816945860645787,0.0,0.0001213886865744,0.1779558145180869,6.351249999999993,28.5,Main_Floor_B,Deployment_A,unknown,16,0.09,0.15,,,0.4285714285714285,9.623547536296606,-1.9463756462651745,0.9055323682138928
A019,34805,54.70346447349519,53.674,5.396365637696993,47.062,72.272,48.63,48.923,49.652,59.424,62.902,64.272,0.222812814250826,0.0320356270650768,0.0001723890245654,0.0,0.3013360149403821,0.5839965522195087,9.771999999999998,25.210000000000008,Main_Floor_B,Deployment_A,unknown,16,0.43,0.84,,,0.1607142857142857,9.024609308346406,-1.5123636010085733,0.961321261089149
A020,43125,59.08239146666667,57.196,4.758685644088439,52.582,75.217,54.033,54.272,54.967,63.099,66.609,67.868,0.3487304347826087,0.1798492753623188,0.0096695652173913,0.0,0.0,0.2567420289855072,8.131999999999998,22.635,Main_Floor_B,Deployment_A,unknown,16,0.84,0.84,,,0.3958333333333333,7.555525578703708,-1.553843396401568,0.97592642928485
A021,43095,60.72860730943265,59.13,4.110491429644947,56.609,81.359,57.087,57.228,57.489,63.066,67.576,69.11859999999999,0.4022508411648683,0.1890010442046641,0.0303747534516765,0.0,0.0,0.0,5.577000000000005,24.749999999999996,Main_Floor_C,Deployment_A,unknown,16,0.85,0.47,,,0.4196428571428572,5.379486648148159,-1.444809148592114,0.9677008196281844
A022,43042,59.16728072580271,56.457,4.622686917486037,53.227,76.451,55.228,55.37,55.652,62.88,66.696,68.352,0.3377863482180196,0.1660238836485293,0.0191440918172947,0.0,0.0,0.0187955950002323,7.2280000000000015,23.224,Main_Floor_C,Deployment_A,unknown,16,0.72,0.47,,,0.4077380952380953,6.342112106877998,-1.7682180081179126,0.9706592378519264
A023,43125,55.4793691826087,50.522,8.22440486481392,47.351,75.67,48.239,48.5,49.054,64.284,68.42139999999999,70.099,0.3218086956521739,0.234063768115942,0.0540289855072463,0.0,0.4388869565217391,0.6497391304347826,15.230000000000004,28.319000000000003,Main_Floor_C,Deployment_A,unknown,16,0.43,0.47,,,0.4761904761904761,10.603662254629633,-3.409321751460908,0.9580845634531976
A024,43125,59.08508426666667,57.33,4.091435151668694,54.859,74.946,55.326,55.446,55.731,62.077,65.56,67.022,0.3594202898550724,0.1239188405797101,0.0055652173913043,0.0,0.0,0.0010898550724637,6.3459999999999965,20.087,Main_Floor_C,Deployment_A,unknown,16,0.85,0.15,,,0.318452380952381,5.456498425925922,-1.2756032231514638,0.9666073233156016
A025,43125,57.18640310724638,54.489,5.191341217020536,51.043,83.692,52.152,52.391,53.098,61.467,65.626,67.132,0.2897391304347826,0.1236173913043478,0.0060521739130434,0.0,0.0,0.5472695652173913,8.369,32.648999999999994,Main_Floor_C,Deployment_A,unknown,16,0.85,0.84,,,0.3720238095238095,7.463570439814816,-2.019066036500057,0.97625961045775
A026,43125,54.7483660057971,51.109,7.730686170412364,44.571,77.231,46.543,47.0214,48.337,62.231,67.0,68.48279999999997,0.2944695652173913,0.1751884057971014,0.0199420289855072,4.63768115942029e-05,0.3999536231884057,0.6363130434782609,13.893999999999998,32.66,Main_Floor_C,Deployment_A,unknown,16,0.43,0.84,,,0.4107142857142857,11.886386069444448,-3.141945449096262,0.9774516454963308
A027,43114,55.68530523727792,52.435500000000005,5.937423381862817,48.449,81.396,50.522,50.78,51.25,60.703,65.582,67.19869999999999,0.2607969569049497,0.1221181054877765,0.009138562879807,0.0,0.0065407988124507,0.6538943266688315,9.453000000000005,32.947,Main_Floor_C,Deployment_A,unknown,16,0.58,0.84,,,0.3095238095238095,8.555537479649658,-2.1914830332299218,0.9802540864093932
A028,43125,59.78219524637681,58.088,3.7674060655952335,55.196,80.283,56.141,56.446,57.054,62.076,66.08339999999998,67.571,0.3340985507246377,0.142168115942029,0.008927536231884,0.0,0.0,0.0,5.021999999999999,25.087000000000003,Main_Floor_C,Deployment_A,unknown,16,0.72,0.84,,,0.3363095238095238,5.30320834259259,-1.4874032941336992,0.9777240121749308
A029,43125,58.46909203478261,52.176,9.540533692609785,49.402,79.516,50.196,50.326,50.685,68.527,73.315,75.19339999999998,0.3683478260869565,0.3138550724637681,0.2125449275362319,0.0,0.0145623188405797,0.5944579710144927,17.842,30.114000000000004,Main_Floor_C,Deployment_A,unknown,16,0.58,0.15,,,0.6964285714285715,12.727533587962952,-4.66674274319152,0.9265079570577092
A030,30630,64.6278733268038,63.577,2.8768680958907824,37.0,98.0,61.0,63.0,63.24775,65.97325000000001,68.681,69.92055,0.981064316030036,0.2993796931113288,0.0479921645445641,9.79431929480901e-05,0.0004570682337577,0.0027097616715638,2.725500000000011,61.0,Main_Floor_C,Deployment_A,unknown,16,0.43,0.15,,,0.2916666666666667,2.9576620415687174,-0.7575484856816672,0.924381019936042
A031,43125,58.38416793043479,56.859,5.681699037341616,49.34,77.396,51.391,51.859,53.272,63.813,66.804,68.297,0.3611130434782608,0.178527536231884,0.0178782608695652,0.0,0.0005797101449275,0.3413565217391304,10.541000000000004,28.056,Main_Floor_C,Deployment_A,unknown,16,0.09,0.15,,,0.3333333333333333,8.639136226851846,-2.0695554997168277,0.9639152216457084
A032,40375,62.318035987616106,59.098,6.145222252811678,55.337,81.989,56.44,56.717,57.272,67.5085,72.1862,73.802,0.4467120743034056,0.3194798761609907,0.1779566563467492,0.0,0.0,0.0,10.2365,26.652,Main_Floor_D,Deployment_A,unknown,16,0.69,0.52,,,0.6458333333333334,8.536969419629692,-3.073876849033958,0.9634577723111806
A033,43125,62.96748435942028,58.062,7.825413738858919,54.728,86.293,55.663,56.055,56.761,70.391,74.109,76.00879999999995,0.4021565217391304,0.3817739130434782,0.2649971014492753,0.0,0.0,0.0002782608695652,13.630000000000004,31.565000000000005,Main_Floor_D,Deployment_A,unknown,16,0.76,0.88,,,0.8422619047619048,10.0158985925926,-5.078879453127343,0.9578126313671692
