sensor_a,sensor_b,mean_db_a,mean_db_b,mean_diff_db,evi_a,evi_b,evi_diff,quiet_share_50_a,quiet_share_50_b,quiet_share_50_diff,high_share_70_a,high_share_70_b,high_share_70_diff,dynamics_difference_score
A018,A033,62.81719664967225,62.96748435942028,0.150287709748035,0.4285714285714285,0.8422619047619048,0.4136904761904763,0.0001213886865744,0.0,0.0001213886865744,0.0816945860645787,0.2649971014492753,0.1833025153846966,0.5971143802617473
A013,A037,61.304272742028985,61.082927443478255,0.2213452985507302,0.3660714285714286,0.7708333333333334,0.4047619047619047,0.0,0.0,0.0,0.0122666666666666,0.2046144927536232,0.1923478260869566,0.5971097308488613
A021,A052,60.72860730943265,61.56214360216055,0.8335362927279064,0.4196428571428572,0.8065476190476191,0.3869047619047618,0.0,0.0,0.0,0.0303747534516765,0.2357981002048798,0.2054233467532032,0.5923281086579651
A013,A036,61.304272742028985,60.74527452753624,0.5589982144927461,0.3660714285714286,0.7589285714285715,0.3928571428571429,0.0,0.0,0.0,0.0122666666666666,0.1958028985507246,0.183536231884058,0.5763933747412009
A029,A031,58.46909203478261,58.38416793043479,0.0849241043478201,0.6964285714285715,0.3333333333333333,0.3630952380952382,0.0145623188405797,0.0005797101449275,0.0139826086956522,0.2125449275362319,0.0178782608695652,0.1946666666666666,0.5717445134575571
A023,A046,55.4793691826087,55.81289029310824,0.3335211104995395,0.4761904761904761,0.2976190476190476,0.1785714285714285,0.4388869565217391,0.093660142843892,0.3452268136778471,0.0540289855072463,0.0081393191726184,0.0458896663346279,0.5696879085839034
A008,A015,61.0593059942029,60.66168377705421,0.3976222171486938,0.6815476190476191,0.2886904761904762,0.3928571428571428,0.0,0.0,0.0,0.1708289855072463,0.0048841218157441,0.1659448636915022,0.558802006548645
A015,A043,60.66168377705421,61.64832306105808,0.9866392840038714,0.2886904761904762,0.6875,0.3988095238095238,0.0,0.0,0.0,0.0048841218157441,0.1634370953043311,0.158552973488587,0.5573624972981108
A003,A027,55.345772049333135,55.68530523727792,0.339533187944788,0.4761904761904762,0.3095238095238095,0.1666666666666667,0.3713370620010516,0.0065407988124507,0.3647962631886009,0.032625842535494,0.009138562879807,0.0234872796556869,0.5549502095109546
A001,A009,62.0710984115942,61.44559113483983,0.6255072767543695,0.9017857142857144,0.5625,0.3392857142857144,0.0,0.0,0.0,0.337831884057971,0.1308418177303203,0.2069900663276506,0.5462757806133651
A001,A045,62.0710984115942,61.36076974963112,0.7103286619630822,0.9017857142857144,0.5625,0.3392857142857144,0.0,0.0,0.0,0.337831884057971,0.1311333348947232,0.2066985491632477,0.5459842634489622
A030,A044,64.6278733268038,64.91579729887337,0.2879239720695778,0.2916666666666667,0.6636904761904763,0.3720238095238096,0.0004570682337577,0.0,0.0004570682337577,0.0479921645445641,0.219145809521588,0.1711536449770239,0.5436345227345911
A017,A052,60.73722337391304,61.56214360216055,0.8249202282475139,0.4672619047619048,0.8065476190476191,0.3392857142857142,0.0,0.0,0.0,0.038631884057971,0.2357981002048798,0.1971662161469088,0.5364519304326231
A018,A049,62.81719664967225,62.93766712271589,0.120470473043639,0.4285714285714285,0.8065476190476191,0.3779761904761906,0.0001213886865744,0.0,0.0001213886865744,0.0816945860645787,0.2319126240608477,0.1502180379962689,0.528315617159034
A037,A041,61.082927443478255,60.52582471884058,0.557102724637673,0.7708333333333334,0.4196428571428572,0.3511904761904761,0.0,0.0,0.0,0.2046144927536232,0.0275246376811594,0.1770898550724638,0.5282803312629399
