sensor_id,n_records,mean_db,median_db,std_db,min_db,max_db,p05_db,p10_db,p25_db,p75_db,p90_db,p95_db,high_exposure_share_60,high_exposure_share_65,high_exposure_share_70,quiet_share_45,quiet_share_50,quiet_share_55,iqr_db,range_db,coverage_ratio,floor,company_id,event_type,period_id
A002,1440,62.85601180555556,64.61500000000001,7.331781440427709,52.505,77.736,53.6689,53.923,54.62325,69.43175,71.9824,73.18764999999999,0.5736111111111111,0.4875,0.21875,0.0,0.0,0.2819444444444444,14.808499999999997,25.231,1.0,Main_Floor_A,Deployment_A,broad_remote_work,A_P015
A002,1440,57.52080486111111,56.044,3.3091256932135096,52.758,71.978,54.0655,54.451,55.56,62.1985,62.7481,63.01155,0.2597222222222222,0.0076388888888888,0.0006944444444444,0.0,0.0,0.1625,6.6385000000000005,19.21999999999999,1.0,Main_Floor_A,Deployment_A,broad_remote_work,A_P016
A002,1440,57.96123125,56.407,3.720734373289321,53.286,69.473,54.077,54.495,55.27225,62.67275,63.5721,64.45209999999999,0.26875,0.0388888888888888,0.0,0.0,0.0,0.1798611111111111,7.400500000000001,16.186999999999998,1.0,Main_Floor_A,Deployment_A,none,A_P017
A002,1440,56.82857083333334,57.061,1.4996746565807824,52.989,65.162,53.7789,54.209,56.242,57.89,58.297,58.484,0.0104166666666666,0.0006944444444444,0.0,0.0,0.0,0.1486111111111111,1.6480000000000032,12.173000000000007,1.0,Main_Floor_A,Deployment_A,none,A_P018
A002,1440,58.16543194444444,57.714,1.977338180907648,55.308,68.736,56.0774,56.385,57.088,58.408,60.363,63.22,0.1222222222222222,0.0131944444444444,0.0,0.0,0.0,0.0,1.3200000000000005,13.428000000000004,1.0,Main_Floor_A,Deployment_A,none,A_P019
A002,1440,58.43950625,58.33,0.9747142593512802,56.22,66.385,57.08745,57.264,57.728,59.154,59.593,59.87955,0.0388888888888888,0.0013888888888888,0.0,0.0,0.0,0.0,1.426000000000002,10.165000000000006,1.0,Main_Floor_A,Deployment_A,none,A_P020
A002,1440,63.85002083333333,67.054,6.321820452321703,55.22,84.304,56.0865,56.337,57.084500000000006,69.261,71.2181,72.326,0.5652777777777778,0.5402777777777777,0.1805555555555555,0.0,0.0,0.0,12.17649999999999,29.084000000000003,1.0,Main_Floor_A,Deployment_A,none,A_P021
A002,1440,63.525754166666665,64.935,6.455022639723532,54.457,79.543,55.25,55.6072,57.17725,69.52550000000001,71.70410000000001,72.78,0.5666666666666667,0.4958333333333333,0.2111111111111111,0.0,0.0,0.025,12.348250000000007,25.08600000000001,1.0,Main_Floor_A,Deployment_A,none,A_P022
A002,1437,57.2897313848295,56.043,3.3204938576115834,53.109,74.522,54.4118,54.7042,55.209,57.63,64.62,64.837,0.1496172581767571,0.0306193458594293,0.0034794711203897,0.0,0.0,0.1816283924843423,2.421,21.413000000000004,0.9979166666666668,Main_Floor_A,Deployment_A,none,A_P023
A002,15,56.5112,56.565,0.1810273065432,56.174,56.804,56.1908,56.2448,56.4075,56.6185,56.6872,56.7284,0.0,0.0,0.0,0.0,0.0,0.0,0.2109999999999985,0.6300000000000026,0.0104166666666666,Main_Floor_A,Deployment_A,none,A_P024
A002,1440,64.45540069444445,65.59299999999999,6.019698252453407,55.315,77.359,56.044,56.348,57.34625,69.76975,71.4791,72.6812,0.6506944444444445,0.5465277777777777,0.2194444444444444,0.0,0.0,0.0,12.423500000000004,22.044,1.0,Main_Floor_A,Deployment_A,none,A_P025
A002,1440,64.26964861111111,65.65,7.00535509242393,53.707,79.837,54.79235,55.359,56.2385,70.53925,72.8172,73.9901,0.6368055555555555,0.5652777777777778,0.2895833333333333,0.0,0.0,0.0666666666666666,14.300749999999994,26.130000000000003,1.0,Main_Floor_A,Deployment_A,none,A_P026
