sensor_a,sensor_b,mean_diff_db,iqr_diff_db,quiet55_diff,high65_diff,high70_diff,substantial_dynamic_difference
A005,A041,0.1774176768129933,6.694500000000012,0.331431884057971,0.1370677825668493,0.0339126417541951,True
A005,A050,0.8538583811580267,2.366500000000009,0.1431884057971014,0.118934449233516,0.0602554741878339,True
A005,A051,0.0674442869133145,1.2425000000000157,0.1068901839460872,0.0889718790976185,0.1190313394101259,True
A005,A054,0.822471057641458,3.722500000000011,0.2516747405950725,0.0860767140069281,0.0845409449399153,True
A005,A056,0.7983712165878103,4.736500000000007,0.1519057284618854,0.126154652798851,0.0304436407270271,True
A006,A014,0.5216736175392782,0.4239999999999995,0.041109689187335,0.0002613688886018,0.1486765315318951,False
A006,A020,0.1968826259389899,3.9440000000000026,0.2210285297670452,0.0708932529465729,0.1515518938507356,True
A006,A022,0.281771885075031,4.847999999999999,0.4589749637523201,0.0847186446603624,0.1420773672508322,True
A006,A024,0.1995754259389883,5.730000000000004,0.4766807036800887,0.1268236877291816,0.1556562416768226,True
A006,A028,0.8966864056491275,7.054000000000001,0.4777705587525524,0.1085744123668627,0.1522939228362429,True
A006,A029,0.4164168059450688,5.765999999999998,0.1166874122619403,0.0631125441548763,0.0513234684681049,True
A006,A031,0.501340910292889,1.5349999999999966,0.136414037013422,0.0722149920770077,0.1433431981985617,True
A006,A047,0.3007364044413165,1.0320000000000054,0.014882363937794,0.0063357581744377,0.0314126680267617,False
A006,A050,0.6090398201418807,0.4350000000000023,0.0012488196221176,0.0032990500480222,0.0395287054449385,False
A006,A056,0.6645269847120971,2.805,0.2963429538811045,0.0105192536133572,0.0693405389057453,True
A007,A014,0.7757692985507205,0.6250000000000089,0.0767536231884057,0.0217507246376812,0.0309101449275363,False
A007,A016,0.1329931889873421,3.923249999999994,0.0188778945440391,0.1210421778052521,0.0394398012684022,True
A007,A025,0.4016628173913048,3.505999999999992,0.0338550724637681,0.1051130434782608,0.0374028985507247,True
A007,A029,0.8810261101449299,5.967000000000008,0.0810434782608695,0.0851246376811594,0.1690898550724638,True
A007,A031,0.7961020057971098,1.3339999999999872,0.1720579710144927,0.0502028985507246,0.0255768115942028,True
A007,A038,0.6069764637681203,1.080999999999996,0.0951420289855072,0.0352231884057969,0.0237449275362318,False
A007,A048,0.2425457069363901,1.4079999999999906,0.0039076480496418,0.0156704217968003,0.0106195284511533,False
A008,A009,0.3862851406369287,3.063000000000009,0.0665486401571998,0.0224423287735323,0.0399871677769259,True
A008,A013,0.2449667478260835,4.364000000000004,0.0756869565217391,0.0335768115942029,0.1585623188405797,True
A008,A015,0.3976222171486938,5.998000000000005,0.0727660601417353,0.1296110451382239,0.1659448636915022,True
A008,A017,0.3220826202898621,3.919000000000004,0.0339246376811593,0.0678956521739131,0.1321971014492753,True
A008,A021,0.3306986847702546,6.204000000000001,0.0756869565217391,0.1119612746359156,0.1404542320555697,True
A008,A036,0.3140314666666626,0.0979999999999972,0.1119536231884058,0.0088811594202899,0.0249739130434783,True
A008,A037,0.0236214492753532,1.0229999999999908,0.0770086956521739,0.01031884057971,0.0337855072463769,False
A008,A041,0.5334812753623197,4.468000000000011,0.0737855072463768,0.0716521739130435,0.1433043478260869,True
A008,A043,0.5890170668551775,0.5227500000000092,0.0688760783021602,0.0707101834377069,0.0073918902029151,False
A008,A045,0.301463755428216,4.693000000000012,0.0756869565217391,0.056987332307568,0.039695650612523,True
A008,A051,0.7783432390886276,0.9839999999999858,0.3645365607576815,0.0235562704438126,0.0096396333382342,True
A008,A052,0.5028376079576518,1.2769999999999868,0.0160855409881202,0.0146892698556663,0.0649691146976335,False
A008,A054,0.1115721054661449,1.496000000000009,0.0059716362165217,0.0206611053531223,0.0248507611319764,False
A008,A055,0.5954403485473492,4.491999999999997,0.2030074652730712,0.0093882974959351,0.097097533750272,True
A009,A013,0.1413183928108452,1.3009999999999948,0.0091383163645393,0.0111344828206706,0.1185751510636537,False
A009,A015,0.7839073577856226,2.934999999999995,0.0062174199845355,0.1071687163646916,0.1259576959145762,True
A009,A017,0.7083677609267909,0.8559999999999945,0.0326240024760404,0.0454533234003808,0.0922099336723493,False
A009,A021,0.7169838254071834,3.140999999999991,0.0091383163645393,0.0895189458623833,0.1004670642786438,True
A009,A032,0.872444852776276,1.518500000000003,0.0091383163645393,0.0409598860939433,0.0471148386164289,False
A009,A036,0.7003166073035914,3.1610000000000067,0.1785022633456056,0.0135611693532423,0.0649610808204043,True
A009,A037,0.3626636913615755,4.086,0.1435573358093737,0.0327611693532423,0.0737726750233029,True
A009,A041,0.9197664159992484,1.4050000000000011,0.007236867089177,0.0492098451395112,0.1033171800491609,False
A009,A043,0.2027319262182487,2.5402500000000003,0.0023274381449605,0.0931525122112392,0.0325952775740107,False
A009,A045,0.0848213852087127,1.6300000000000026,0.0091383163645393,0.0345450035340357,0.0002915171644028,False
A009,A052,0.116552467320723,4.339999999999996,0.0504630991690795,0.0077530589178659,0.1049562824745594,True
A009,A054,0.2747130351707838,1.5670000000000002,0.0725202763737215,0.0017812234204099,0.0151364066449495,False
A009,A055,0.2091552079104204,7.555000000000007,0.269556105430271,0.0318306262694674,0.137084701527198,True
A010,A011,0.7282756357148301,0.4520000000000035,0.0359131285857249,0.0575568836654275,0.005769889040839,False
A010,A012,0.7239939725470066,4.829000000000001,0.0171319510223655,0.071532582537561,0.0017048861103167,True
A010,A019,0.5061039184340927,1.7950000000000017,0.0383456985856602,0.0931415103935911,0.0073854758785994,False
A010,A023,0.2698007906794188,3.663000000000004,0.1040882768009341,0.1088866306572741,0.0464711206040815,True
