event_type,sensor_id,floor,normal_workday_mean_db,event_mean_db,delta_vs_normal_workday_db
broad_remote_work,A032,Main_Floor_D,64.72914072463614,59.54882301204546,-5.180317712590679
broad_remote_work,A033,Main_Floor_D,65.88309591687552,61.04363715277778,-4.839458764097735
broad_remote_work,A034,Main_Floor_D,67.20559510976555,65.65015797790711,-1.55543713185844
broad_remote_work,A035,Main_Floor_D,66.60659039786967,65.09215277777778,-1.5144376200918828
broad_remote_work,A036,Main_Floor_D,63.11856557539683,59.94895590277778,-3.169609672619046
broad_remote_work,A037,Main_Floor_D,63.51105134189641,59.61393368055556,-3.89711766134085
broad_remote_work,A038,Main_Floor_D,59.003888471177945,56.603633333333335,-2.40025513784461
broad_remote_work,A039,Main_Floor_D,65.0259827889502,62.43174131944444,-2.5942414695057607
broad_remote_work,A040,Main_Floor_D,67.63890163429407,65.00584375,-2.6330578842940757
broad_remote_work,A041,Main_Floor_D,61.59503210108605,59.29505208333333,-2.2999800177527163
broad_remote_work,A042,Main_Floor_D,50.99756706310721,49.36202152777777,-1.6355455353294417
broad_remote_work,A043,Main_Floor_D,63.47601272375795,60.25178055555556,-3.224232168202392
broad_remote_work,A044,Main_Floor_D,66.47080479106704,64.27537843005096,-2.195426361016075
broad_remote_work,A045,Main_Floor_E,63.13771593643975,60.53909444444445,-2.598621491995303
broad_remote_work,A046,Main_Floor_E,57.87326750421847,55.372501041666666,-2.500766462551802
broad_remote_work,A047,Main_Floor_E,61.31745637369243,57.71573784722222,-3.601718526470208
broad_remote_work,A048,Main_Floor_E,59.69253779352249,55.80868506944445,-3.88385272407804
broad_remote_work,A049,Main_Floor_E,65.33933746405988,62.112600694444446,-3.226736769615435
broad_remote_work,A050,Main_Floor_E,61.7022267804929,60.513497569444446,-1.1887292110484535
broad_remote_work,A051,Main_Floor_E,63.13055488471614,58.62232708333333,-4.508227801382809
broad_remote_work,A052,Main_Floor_E,64.59806748991312,59.56060712700692,-5.037460362906202
broad_remote_work,A053,Main_Floor_E,65.98497585750155,66.60554166666667,0.6205658091651145
broad_remote_work,A054,Main_Floor_E,63.23410721232072,60.451428819444445,-2.782678392876271
broad_remote_work,A055,Main_Floor_E,65.03294314385677,59.764740277777776,-5.268202866078994
broad_remote_work,A056,Main_Floor_E,61.66314623151,58.526359124303454,-3.136787107206544
low_attendance,A001,Main_Floor_A,65.83583103592314,54.105121875,-11.730709160923134
low_attendance,A002,Main_Floor_A,62.22412701731311,56.86147708333334,-5.362649933979768
low_attendance,A003,Main_Floor_A,57.50715832289057,47.32030442653466,-10.186853896355906
low_attendance,A004,Main_Floor_A,58.49197664995823,52.877936111111126,-5.6140405388471
low_attendance,A005,Main_Floor_A,61.31222260661331,52.03670231273208,-9.275520293881236
low_attendance,A006,Main_Floor_A,61.27831609391643,52.13455243055556,-9.143763663360872
low_attendance,A007,Main_Floor_A,59.93075260025063,51.095813541666665,-8.834939058583963
low_attendance,A008,Main_Floor_A,63.33870664682539,55.52419201388889,-7.8145146329365
low_attendance,A009,Main_Floor_A,63.5991380146753,57.350844791666674,-6.248293223008623
low_attendance,A010,Main_Floor_B,57.17150782635896,53.44267612403245,-3.728831702326509
low_attendance,A011,Main_Floor_B,55.65564166227048,53.008025,-2.6476166622704795
low_attendance,A012,Main_Floor_B,57.29633214231603,50.17905069444444,-7.117281447871591
low_attendance,A013,Main_Floor_B,62.0474113512949,60.07304895833333,-1.9743623929615663
low_attendance,A014,Main_Floor_B,59.95576823830409,54.760263888888886,-5.195504349415202
low_attendance,A015,Main_Floor_B,61.595021437616566,58.24627535856308,-3.348746079053484
low_attendance,A016,Main_Floor_B,58.92248844393292,54.32063794757033,-4.601850496362587
low_attendance,A017,Main_Floor_B,61.90692481203008,57.75569131944445,-4.151233492585625
low_attendance,A018,Main_Floor_B,63.332167470609136,56.77701634574693,-6.555151124862206
low_attendance,A019,Main_Floor_B,55.910746650981416,51.6214872406463,-4.289259410335113
low_attendance,A020,Main_Floor_B,60.284502213868,57.38802013888889,-2.896482074979112
low_attendance,A021,Main_Floor_C,61.996929427736006,57.631427083333335,-4.365502344402671
low_attendance,A022,Main_Floor_C,60.63146671638857,55.56578888694911,-5.0656778294394655
low_attendance,A023,Main_Floor_C,58.619062875939846,49.30514930555556,-9.313913570384289
low_attendance,A024,Main_Floor_C,60.311583348997495,55.825075,-4.486508348997496
low_attendance,A025,Main_Floor_C,58.89218765664161,53.05024097222223,-5.841946684419384
low_attendance,A026,Main_Floor_C,57.36269438178781,49.45530659722222,-7.907387784565593
low_attendance,A027,Main_Floor_C,57.64705509750684,51.54457361111112,-6.1024814863957175
low_attendance,A028,Main_Floor_C,60.99795410923141,56.600330902777785,-4.397623206453623
low_attendance,A029,Main_Floor_C,62.00233090016709,50.613906944444444,-11.388423955722644
low_attendance,A030,Main_Floor_C,65.5246470055158,63.76837148606471,-1.7562755194510942
low_attendance,A031,Main_Floor_C,60.22202590329992,53.25965590277778,-6.962370000522135
low_attendance,A032,Main_Floor_D,64.72914072463614,58.118294444444444,-6.610846280191694
low_attendance,A033,Main_Floor_D,65.88309591687552,58.04980902777777,-7.833286889097749
low_attendance,A034,Main_Floor_D,67.20559510976555,64.0218480774803,-3.183747032285254
low_attendance,A035,Main_Floor_D,66.60659039786967,62.579362152777776,-4.027228245091891
low_attendance,A036,Main_Floor_D,63.11856557539683,55.51109687500001,-7.607468700396822
low_attendance,A037,Main_Floor_D,63.51105134189641,56.13437638888889,-7.376674953007523
low_attendance,A038,Main_Floor_D,59.003888471177945,52.21261493055555,-6.791273540622392
low_attendance,A039,Main_Floor_D,65.0259827889502,59.60449027777778,-5.421492511172424
low_attendance,A040,Main_Floor_D,67.63890163429407,61.58671840277778,-6.052183231516295
low_attendance,A041,Main_Floor_D,61.59503210108605,57.25399618055556,-4.341035920530487
low_attendance,A042,Main_Floor_D,50.99756706310721,51.41321562500001,0.4156485618927945
low_attendance,A043,Main_Floor_D,63.47601272375795,56.40952638888889,-7.066486334869055
low_attendance,A044,Main_Floor_D,66.47080479106704,61.241835073305154,-5.228969717761885
low_attendance,A045,Main_Floor_E,63.13771593643975,57.48160833333333,-5.656107603106413
low_attendance,A046,Main_Floor_E,57.87326750421847,49.96780555555556,-7.905461948662911
low_attendance,A047,Main_Floor_E,61.31745637369243,54.04834722222222,-7.269109151470211
low_attendance,A048,Main_Floor_E,59.69253779352249,53.508468750000006,-6.184069043522484
low_attendance,A049,Main_Floor_E,65.33933746405988,55.57009618055555,-9.769241283504329
low_attendance,A050,Main_Floor_E,61.7022267804929,52.66848055555556,-9.03374622493734
low_attendance,A051,Main_Floor_E,63.13055488471614,53.46515451388889,-9.66540037082725
low_attendance,A052,Main_Floor_E,64.59806748991312,55.9124227994228,-8.68564469049032
low_attendance,A053,Main_Floor_E,65.98497585750155,63.21225,-2.7727258575015554
low_attendance,A054,Main_Floor_E,63.23410721232072,55.19087638888889,-8.043230823431827
low_attendance,A055,Main_Floor_E,65.03294314385677,54.73187430555555,-10.30106883830122
low_attendance,A056,Main_Floor_E,61.66314623151,54.99106720290607,-6.672079028603932
